"","time","P","V","Pv","I","gamma_out","lambda_out"
"208",20.7,0.000253543806793151,9.51671800659237e-07,6.55499379903836e-13,1.15001626031537e-16,2.5e-07,0.025
"209",20.8,0.00024360221246851,9.14368699366205e-07,6.05110813094716e-13,1.06161393244951e-16,2.5e-07,0.025
"210",20.9,0.000234050433598438,8.7852733513517e-07,5.58595343304428e-13,9.80006614119265e-17,2.5e-07,0.025
"211",21,0.000224873185302727,8.44090462950039e-07,5.1565529896041e-13,9.0467206662001e-17,2.5e-07,0.025
"212",21.1,0.000216055782029721,8.11003077108371e-07,4.76015883277383e-13,8.35128183058127e-17,2.5e-07,0.025
"213",21.2,0.000207584114056323,7.79212323814109e-07,4.39423416785437e-13,7.70929905020426e-17,2.5e-07,0.025
"214",21.3,0.00019944462490944,7.48667417167787e-07,4.05643714168276e-13,7.11666374878787e-17,2.5e-07,0.025
"215",21.4,0.000191624289672756,7.19319558423214e-07,3.74460586386626e-13,6.56958307896861e-17,2.5e-07,0.025
"216",21.5,0.000184110594144102,6.91121858384651e-07,3.45674458413455e-13,6.06455567167704e-17,2.5e-07,0.025
"217",21.6,0.000176891514810076,6.64029262823221e-07,3.1910109291419e-13,5.59834924422567e-17,2.5e-07,0.025
"218",21.7,0.00016995549960587,6.37998480795967e-07,2.94570411561945e-13,5.16797992131644e-17,2.5e-07,0.025
"219",21.8,0.000163291449429516,6.12987915755353e-07,2.71925406921944e-13,4.77069314500542e-17,2.5e-07,0.025
"220",21.9,0.000156888700380965,5.88957599341331e-07,2.51021138171048e-13,4.40394605548185e-17,2.5e-07,0.025
"221",22,0.000150737006697583,5.65869127752173e-07,2.31723804013492e-13,4.065391226187e-17,2.5e-07,0.025
"222",22.1,0.000144826524358755,5.43685600594256e-07,2.13909886400274e-13,3.75286164112293e-17,2.5e-07,0.025
"223",22.2,0.000139147795333361,5.22371562114803e-07,1.97465360232175e-13,3.4643568297795e-17,2.5e-07,0.025
"224",22.3,0.000133691732444915,5.01892944725236e-07,1.82284965918704e-13,3.19803010480735e-17,2.5e-07,0.025
"225",22.4,0.000128449604830156,4.82217014726365e-07,1.68271533162113e-13,2.9521766984504e-17,2.5e-07,0.025
"226",22.5,0.000123413023967808,4.63312320150031e-07,1.5533535941649e-13,2.7252228580798e-17,2.5e-07,0.025
"227",22.6,0.000118573930255163,4.45148640635071e-07,1.4339363685809e-13,2.51571579295001e-17,2.5e-07,0.025
"228",22.7,0.000113924580111005,4.2769693925867e-07,1.32369922932007e-13,2.32231438537624e-17,2.5e-07,0.025
"229",22.8,0.000109457533584234,4.1092931624717e-07,1.22193650769346e-13,2.14378060144127e-17,2.5e-07,0.025
"230",22.9,0.00010516564244836,3.94818964493347e-07,1.12799677262205e-13,1.9789715623637e-17,2.5e-07,0.025
"231",23,0.000101042038762824,3.79340126809944e-07,1.04127866360386e-13,1.82683223380428e-17,2.5e-07,0.025
"232",23.1,9.70801238828282e-05,3.64468054852005e-07,9.61227044977815e-14,1.68638867885948e-17,2.5e-07,0.025
"233",23.2,9.32735579001044e-05,3.50178969643094e-07,8.87329453032363e-14,1.5567418248245e-17,2.5e-07,0.025
"234",23.3,8.96162494977108e-05,3.36450023643048e-07,8.19112814785367e-14,1.4370617065796e-17,2.5e-07,0.025
"235",23.4,8.61023462026285e-05,3.2325926429726e-07,7.56140420178156e-14,1.3265821545696e-17,2.5e-07,0.025
